Sr. No.,Lease Name,Area,Document Name,condition_type,shortened_condition_text,condition_text,Evidence,clause_number,Priority,AI Validated,Location,Type,Assigned by,Assigned to,Progress Status,create date,deadline date,completion date,approved date,validation date,closure date
62,Topailore,14.16,EC,Specific,Maintain records of medical examinations,Pre-placement medical examination and periodical medical examination of the workers engaged in the project shall be carried out and records maintained.,pdf,23,1,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,4/18/2024,4/18/2024,4/28/2024,4/30/2024,4/30/2024,4/30/2024
63,Topailore,14.16,EC,Specific,Provide housing for construction labour within the site,"Provision shall be made for the housing of construction labour within the site with all necessary infrastructure and facilities such as fuel for cooking, mobile toilets, septic tanks, safe drinking water, medical health care, etc. The housing may be in the form of temporary structures to be removed after the completion of the project.",image,24,2,0,Gua,Iron Ore Mine,Shreyas,test_user,Approval Pending,2/2/2025,2/2/2025,3/4/2025,,12/31/2027,12/31/2027
64,Topailore,14.16,EC,Specific,"Provide necessary infrastructure (fuel, toilets, water, medical)","Provision shall be made for the housing of construction labour within the site with all necessary infrastructure and facilities such as fuel for cooking, mobile toilets, septic tanks, safe drinking water, medical health care, etc. The housing may be in the form of temporary structures to be removed after the completion of the project.",image,24,2,0,Gua,Iron Ore Mine,Vinay,Anshul,Approval Pending,3/4/2025,3/4/2025,3/19/2025,,12/31/2027,12/31/2027
65,Topailore,14.16,EC,Specific,Remove temporary housing structures after project completion,"Provision shall be made for the housing of construction labour within the site with all necessary infrastructure and facilities such as fuel for cooking, mobile toilets, septic tanks, safe drinking water, medical health care, etc. The housing may be in the form of temporary structures to be removed after the completion of the project.",image,24,1,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,10/5/2024,10/5/2024,10/25/2024,10/26/2024,10/26/2024,10/26/2024
66,Topailore,14.16,EC,Specific,Implement proper safety measures around mined out pit,Proper safety measures as per statutory requirement are to be implemented around the mined out Pit prior to closure of site.,"image,pdf",25,3,0,Gua,Iron Ore Mine,Vinay,Anshul,Approval Pending,1/25/2025,1/25/2025,2/16/2025,,12/31/2027,12/31/2027
67,Topailore,14.16,EC,Specific,Submit final mine closure plan and corpus fund in advance,"A final mine closure Plan along with corpus fund duly approved by Competent Authority shall be submitted to the Jharkhand State Pollution Control Board, Ranchi and to concerned DMO in advance of final mine closure for approval.",pdf,26,3,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,9/7/2024,9/7/2024,9/14/2024,9/17/2024,9/17/2024,9/17/2024
68,Topailore,14.16,EC,Specific,Obtain Consent to Operate from JSPCB before starting production,Consent to operate should be obtained from JSPCB before starting production from the mine.,pdf,27,4,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,4/14/2024,4/14/2024,4/29/2024,4/30/2024,4/30/2024,4/30/2024
69,Topailore,14.16,EC,General,No change in mining technology and scope without prior MoEF approval,No change in mining technology and scope of working should be made without prior approval of the Ministry of Environment and Forests.,pdf,1,4,0,Gua,Iron Ore Mine,Ankit,Shreyas,Evidence Pending,6/17/2025,6/17/2025,7/30/2025,,12/31/2027,12/31/2027
70,Topailore,14.16,EC,General,No change in calendar plan including excavation quantum,"No change in the calendar plan including excavation, quantum of iron ore and waste should be made.",pdf,2,3,0,Gua,Iron Ore Mine,Vinay,Anshul,Evidence Pending,4/30/2025,4/30/2025,6/8/2025,,12/31/2027,12/31/2027
71,Topailore,14.16,EC,General,Maintain register for production and dispatch and submit return,The Project proponent shall maintain register for production and dispatch and submit return to the Board.,pdf,3,2,0,Gua,Iron Ore Mine,Vinay,Anshul,Evidence Pending,7/5/2025,7/5/2025,8/19/2025,,12/31/2027,12/31/2027
72,Topailore,14.16,EC,General,Do not cut trees without permission of competent authority,The Project proponent shall not cut trees / carry out tree felling in leased out area without the permission of competent authority.,pdf,4,3,0,Gua,Iron Ore Mine,Ankit,Vinay,Approval Pending,9/10/2024,9/10/2024,9/30/2024,,12/31/2027,12/31/2027
73,Topailore,14.16,EC,General,Establish four ambient air quality monitoring stations in core and buffer zones,"Four ambient air quality-monitoring stations should be established in the core zone as well as in the buffer zone for SPM / RSPM (PM10 and PM 2.5) levels, SO2 &NOx monitoring. Location of the stations should be decided based on the meteorological data, topographical features and environmentally and ecologically sensitive targets and frequency of monitoring should be undertaken in consultation with the State Pollution Control Board.","image,pdf",5,3,0,Gua,Iron Ore Mine,Vinay,Anshul,Approval Pending,2/28/2025,2/28/2025,3/19/2025,,12/31/2027,12/31/2027
74,Topailore,14.16,EC,General,"Monitor for SPM, RSPM, SO2, and NOx","Four ambient air quality-monitoring stations should be established in the core zone as well as in the buffer zone for SPM / RSPM (PM10 and PM 2.5) levels, SO2 &NOx monitoring. Location of the stations should be decided based on the meteorological data, topographical features and environmentally and ecologically sensitive targets and frequency of monitoring should be undertaken in consultation with the State Pollution Control Board.",pdf,5,3,0,Gua,Iron Ore Mine,Naveen,test_user_SUPER,Approval Pending,10/6/2024,10/6/2024,10/23/2024,,12/31/2027,12/31/2027
75,Topailore,14.16,EC,General,Decide station locations and frequency in consultation with SPCB,"Four ambient air quality-monitoring stations should be established in the core zone as well as in the buffer zone for SPM / RSPM (PM10 and PM 2.5) levels, SO2 &NOx monitoring. Location of the stations should be decided based on the meteorological data, topographical features and environmentally and ecologically sensitive targets and frequency of monitoring should be undertaken in consultation with the State Pollution Control Board.",pdf,5,2,0,Gua,Iron Ore Mine,Ankit,Vinay,Evidence Pending,6/12/2025,6/12/2025,7/22/2025,,12/31/2027,12/31/2027
76,Topailore,14.16,EC,General,Conduct regular monitoring of ground water level and quality,"Regular monitoring of ground water level and quality should be carried out in and around the mine lease by establishing a network of existing wells and constructing new piezometers during the mining operation. The monitoring should be carried out four times in a year i.e. January, April-May, August, November and the data thus collected may be sent regularly to Jharkhand State Pollution Control Board, Ranchi and its nearest Regional Office/Ground Water Directorate, Government of Jharkhand / Central Ground Water Board / Authority.",pdf,6,3,0,Gua,Iron Ore Mine,Ankit,Vinay,Approval Pending,2/28/2025,2/28/2025,4/1/2025,,12/31/2027,12/31/2027
77,Topailore,14.16,EC,General,Establish a network of existing wells and new piezometers,"Regular monitoring of ground water level and quality should be carried out in and around the mine lease by establishing a network of existing wells and constructing new piezometers during the mining operation. The monitoring should be carried out four times in a year i.e. January, April-May, August, November and the data thus collected may be sent regularly to Jharkhand State Pollution Control Board, Ranchi and its nearest Regional Office/Ground Water Directorate, Government of Jharkhand / Central Ground Water Board / Authority.","image,pdf",6,3,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,4/17/2025,4/17/2025,5/15/2025,5/17/2025,5/17/2025,5/17/2025
78,Topailore,14.16,EC,General,"Monitor four times a year (Jan, Apr-May, Aug, Nov)","Regular monitoring of ground water level and quality should be carried out in and around the mine lease by establishing a network of existing wells and constructing new piezometers during the mining operation. The monitoring should be carried out four times in a year i.e. January, April-May, August, November and the data thus collected may be sent regularly to Jharkhand State Pollution Control Board, Ranchi and its nearest Regional Office/Ground Water Directorate, Government of Jharkhand / Central Ground Water Board / Authority.",pdf,6,2,0,Gua,Iron Ore Mine,Vinay,Anshul,Approval Pending,1/7/2025,1/7/2025,1/27/2025,,12/31/2027,12/31/2027
79,Topailore,14.16,EC,General,Send data regularly to JSPCB and Ground Water Directorate,"Regular monitoring of ground water level and quality should be carried out in and around the mine lease by establishing a network of existing wells and constructing new piezometers during the mining operation. The monitoring should be carried out four times in a year i.e. January, April-May, August, November and the data thus collected may be sent regularly to Jharkhand State Pollution Control Board, Ranchi and its nearest Regional Office/Ground Water Directorate, Government of Jharkhand / Central Ground Water Board / Authority.",pdf,6,2,0,Gua,Iron Ore Mine,Vinay,Anshul,Approval Pending,9/7/2024,9/7/2024,10/5/2024,,12/31/2027,12/31/2027
80,Topailore,14.16,EC,General,Make all internal roads pucca,"The Project proponent shall make all internal roads pucca and shall maintain a good housekeeping by regular cleaning and wetting of the haul roads and the premises. Fugitive dust emissions from all the sources should be controlled regularly. Water spraying arrangement on haul roads, loading and unloading and at transfer points should be provided and properly maintained.",image,7,2,0,Gua,Iron Ore Mine,Naveen,Ankit,Approval Pending,11/9/2024,11/9/2024,12/6/2024,,12/31/2027,12/31/2027
81,Topailore,14.16,EC,General,Maintain good housekeeping by cleaning and wetting haul roads and premises,"The Project proponent shall make all internal roads pucca and shall maintain a good housekeeping by regular cleaning and wetting of the haul roads and the premises. Fugitive dust emissions from all the sources should be controlled regularly. Water spraying arrangement on haul roads, loading and unloading and at transfer points should be provided and properly maintained.",image,7,1,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,10/22/2024,10/22/2024,11/4/2024,11/5/2024,11/5/2024,11/5/2024
82,Topailore,14.16,EC,General,Control fugitive dust emissions from all sources,"The Project proponent shall make all internal roads pucca and shall maintain a good housekeeping by regular cleaning and wetting of the haul roads and the premises. Fugitive dust emissions from all the sources should be controlled regularly. Water spraying arrangement on haul roads, loading and unloading and at transfer points should be provided and properly maintained.",image,7,2,0,Gua,Iron Ore Mine,Vinay,Anshul,Evidence Pending,7/18/2025,7/18/2025,8/30/2025,,12/31/2027,12/31/2027
83,Topailore,14.16,EC,General,Provide and maintain water spraying on haul roads and transfer points,"The Project proponent shall make all internal roads pucca and shall maintain a good housekeeping by regular cleaning and wetting of the haul roads and the premises. Fugitive dust emissions from all the sources should be controlled regularly. Water spraying arrangement on haul roads, loading and unloading and at transfer points should be provided and properly maintained.",image,7,2,0,Gua,Iron Ore Mine,Ankit,Shreyas,Evidence Pending,7/9/2025,7/9/2025,8/19/2025,,12/31/2027,12/31/2027
84,Topailore,14.16,EC,General,Control noise levels below 85 dBA,"Measures should be taken for control of noise levels below 85 dBA in the work environment. Workers engaged in operations of HEMM, etc. should be provided with ear plugs / muffs.",pdf,8,2,0,Gua,Iron Ore Mine,Naveen,Ankit,Evidence Pending,6/12/2025,6/12/2025,7/13/2025,,12/31/2027,12/31/2027
